side,color_relation,break_mode,micro_state,runtime_action,sample_size,false_breakout_rate,success_rate_3,avg_mfe_3_atr,avg_mae_3_atr,avg_return_3_atr,success_rate_5,avg_mfe_5_atr,avg_mae_5_atr,avg_return_5_atr,success_rate_10,avg_mfe_10_atr,avg_mae_10_atr,avg_return_10_atr
BUY,SAME_COLOR,CLOSE_BREAK,BREAK_ACCEPTED,CONFIRMATION_CANDIDATE,404,0.46782178217821785,0.48267326732673266,1.050674965248964,0.9150760795579235,0.09563482030456448,0.5074257425742574,1.4250741397350357,1.2203216178747132,0.07062544315434766,0.48267326732673266,2.076423350235248,1.803374560362328,0.06763892342488627
BUY,SAME_COLOR,WICK_ONLY,LEVEL_SWEEP,WAIT_FOR_CONFIRMATION,334,0.8413173652694611,0.47305389221556887,0.897298603529462,0.9064614075322561,0.01608338873678775,0.5,1.1869766488430757,1.1814602899311637,-0.014655852521209857,0.49700598802395207,1.7044861224050571,1.7034740038728569,-0.024176372816290682
BUY,OPPOSITE_COLOR,WICK_ONLY,LEVEL_SWEEP,WAIT_FOR_CONFIRMATION,147,0.8095238095238095,0.3945578231292517,0.7927983816971256,1.0033298853058117,-0.15392835477858186,0.47619047619047616,1.1409673800164528,1.3433274553909993,-0.0822838048318393,0.46258503401360546,1.608968762429378,1.9201893962238532,-0.31465404884721637
BUY,OPPOSITE_COLOR,CLOSE_BREAK,BREAK_ACCEPTED,CONFIRMATION_CANDIDATE,144,0.4930555555555556,0.4722222222222222,0.9577493926564691,0.9363591048839847,-0.04532821887805061,0.4791666666666667,1.2573203993904132,1.243459990075848,-0.1010168041227216,0.4930555555555556,1.7627151732290136,1.6814791690813946,-0.02026158620503709
BUY,DOJI,CLOSE_BREAK,BREAK_ACCEPTED,CONFIRMATION_CANDIDATE,52,0.4807692307692308,0.4423076923076923,0.8864441288649192,0.9671266655094318,-0.1529840152359218,0.5,1.1064075957724915,1.2110868559716244,-0.20864148589131876,0.5769230769230769,1.8037742149875327,1.7212236675500623,0.14153816446384404
BUY,DOJI,WICK_ONLY,LEVEL_SWEEP,WAIT_FOR_CONFIRMATION,44,0.8409090909090909,0.4772727272727273,0.92585109568752,0.8920622366276106,0.0483138200448815,0.4772727272727273,1.1135004304508793,1.195140820574272,-0.050630029860311974,0.5454545454545454,1.70111414548908,1.5879063329957097,0.14724024589410442
SELL,SAME_COLOR,CLOSE_BREAK,BREAK_ACCEPTED,CONFIRMATION_CANDIDATE,432,0.48148148148148145,0.49537037037037035,0.9602120856730136,0.8704876091104585,0.017260649636255936,0.49074074074074076,1.2123002163189749,1.1754353642848874,-0.039154510749886774,0.4722222222222222,1.6568200287457482,1.7670733674219872,-0.20291208570847874
SELL,SAME_COLOR,WICK_ONLY,LEVEL_SWEEP,WAIT_FOR_CONFIRMATION,406,0.8596059113300493,0.47783251231527096,0.8636882239390916,0.9213122599871105,-0.036411310641232805,0.49261083743842365,1.130470353986533,1.1999099787355323,-0.09961528571980928,0.47783251231527096,1.6333130572174728,1.778068024892326,-0.136049701017542
SELL,OPPOSITE_COLOR,CLOSE_BREAK,BREAK_ACCEPTED,CONFIRMATION_CANDIDATE,165,0.45454545454545453,0.509090909090909,0.8493978142192823,0.896922146955845,-0.05725527060010307,0.5696969696969697,1.1262456651812291,1.1569277173078127,-0.04112953566037729,0.5212121212121212,1.7588518738970584,1.716582479460989,-0.0786126043661138
SELL,OPPOSITE_COLOR,WICK_ONLY,LEVEL_SWEEP,WAIT_FOR_CONFIRMATION,157,0.7770700636942676,0.49044585987261147,0.976896336671457,0.8918113317438923,0.059115034322436505,0.49044585987261147,1.2566817099263712,1.243690849853743,-0.015822883996089557,0.5095541401273885,1.7378377667255371,1.727115097165776,-0.05265952247075012
SELL,DOJI,WICK_ONLY,LEVEL_SWEEP,WAIT_FOR_CONFIRMATION,70,0.8428571428571429,0.5,0.8974059283522214,0.9947181944996183,-0.1198370993489803,0.5,1.0966108482890733,1.1847127245852345,-0.010360018849326155,0.44285714285714284,1.630513766983456,1.7508632649286537,-0.049172178597776416
SELL,DOJI,CLOSE_BREAK,BREAK_ACCEPTED,CONFIRMATION_CANDIDATE,51,0.43137254901960786,0.49019607843137253,0.972802106253745,0.9049881311277828,0.19856609237009334,0.5490196078431373,1.3795274643874003,1.092444329587807,0.23760079644083168,0.49019607843137253,1.733379786813627,1.6683731171865466,-0.20714400195899813
