side,directional_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,PARTIAL_ALIGNMENT,5,26943,ADEQUATE,0.5552462606242808,1.4084550954858615,1.0318717392134593,0.1688729010171015,0.1190108191650281
UP,PARTIAL_ALIGNMENT,5,26250,ADEQUATE,0.5323428571428571,1.3305927432495863,1.0829419765949277,0.11013652145839699,0.06075365513772235
DOWN,FULL_ALIGNMENT,5,5696,ADEQUATE,0.5207162921348315,1.4277932186373699,1.1033424405225143,0.07788093111926706,-0.024796993256410042
UP,NO_ALIGNMENT,5,5537,ADEQUATE,0.5566191078201193,1.315401509901364,1.0770037899898308,0.1377990349450086,0.1882519462139284
UP,FULL_ALIGNMENT,5,5134,ADEQUATE,0.5231788079470199,1.4215021841955853,1.0913433678375597,0.13229311410212719,-0.023103243285272752
DOWN,NO_ALIGNMENT,5,4982,ADEQUATE,0.5678442392613409,1.3689870152545396,1.0401903042813303,0.1834701335929689,0.23552554827949218
UP,UNKNOWN_CONTEXT,5,4,INSUFFICIENT_SAMPLE,0.25,0.8512496917579573,2.384747012864874,-1.0095342443391615,-1.211352526800966
DOWN,UNKNOWN_CONTEXT,5,2,INSUFFICIENT_SAMPLE,1.0,2.0688054703898584,1.6868345886797027,-0.6390233429789547,-0.6390233429789547
DOWN,PARTIAL_ALIGNMENT,15,26943,ADEQUATE,0.5444827970159225,2.432485709092368,1.9779111169577082,0.19108157594272035,0.12465219810784889
UP,PARTIAL_ALIGNMENT,15,26250,ADEQUATE,0.5151619047619047,2.2622692583085704,2.082762724204263,0.07921078357104458,0.055118323819977416
DOWN,FULL_ALIGNMENT,15,5696,ADEQUATE,0.5287921348314607,2.441836479127472,1.9925875356740896,0.13079799412654483,0.010947914686238059
UP,NO_ALIGNMENT,15,5537,ADEQUATE,0.5185118295105653,2.21645871134462,2.0839300751038072,0.09505317766836084,0.08696458371964627
UP,FULL_ALIGNMENT,15,5134,ADEQUATE,0.4986365407089988,2.349114412227216,2.061752507619472,0.07093704369086323,-0.11540910799743875
DOWN,NO_ALIGNMENT,15,4982,ADEQUATE,0.5608189482135688,2.349560270899589,1.9714908088477323,0.2082300475037993,0.3434461196820905
UP,UNKNOWN_CONTEXT,15,4,INSUFFICIENT_SAMPLE,0.0,0.8512496917579573,5.64768099674558,-5.354653433788781,-4.854523892790704
DOWN,UNKNOWN_CONTEXT,15,2,INSUFFICIENT_SAMPLE,1.0,3.3114036183651048,1.6868345886797027,3.104221218583388,3.104221218583388
DOWN,PARTIAL_ALIGNMENT,30,26943,ADEQUATE,0.5431466429128159,3.5141769991145937,2.940857718807001,0.27357128363488326,0.2420091324203843
UP,PARTIAL_ALIGNMENT,30,26250,ADEQUATE,0.5008380952380952,3.210774084445457,3.132509031590708,0.03226070859223038,0.007892074093505869
DOWN,FULL_ALIGNMENT,30,5696,ADEQUATE,0.5384480337078652,3.459633523467713,2.7976088599392477,0.2558182158295022,0.07341832927324157
UP,NO_ALIGNMENT,30,5537,ADEQUATE,0.49665884052736137,3.0481111387587583,3.126707614964962,0.011409129425452995,0.06398171950865819
UP,FULL_ALIGNMENT,30,5134,ADEQUATE,0.4879236462797039,3.19999637430508,3.0245978411035854,-0.027244137555247905,-0.2226193960731206
DOWN,NO_ALIGNMENT,30,4982,ADEQUATE,0.5483741469289442,3.27994996435313,2.8451229447021444,0.21978995005140922,0.3945215193343708
UP,UNKNOWN_CONTEXT,30,4,INSUFFICIENT_SAMPLE,0.0,0.8512496917579573,9.558154635626618,-7.705383770100607,-7.440348904566223
DOWN,UNKNOWN_CONTEXT,30,2,INSUFFICIENT_SAMPLE,1.0,8.642333292645159,1.6868345886797027,6.331508354215858,6.331508354215858
DOWN,PARTIAL_ALIGNMENT,60,26943,ADEQUATE,0.542144527335486,5.144853298415151,4.30160990014117,0.4082485147426784,0.28240740740766196
UP,PARTIAL_ALIGNMENT,60,26250,ADEQUATE,0.4886095238095238,4.5441622785455404,4.7127185763056,-0.12878156528826684,-0.11413881809639306
DOWN,FULL_ALIGNMENT,60,5696,ADEQUATE,0.5370435393258427,5.09570757235823,3.8286740726430177,0.6634330237549652,0.17506018841624404
UP,NO_ALIGNMENT,60,5537,ADEQUATE,0.48889290229366084,4.1779917951294285,4.6279305742608905,-0.1489981044772928,0.0682372055240791
UP,FULL_ALIGNMENT,60,5134,ADEQUATE,0.49357226334242305,4.616100209772477,4.472746077230068,0.053947402468878976,-0.16203329727999544
DOWN,NO_ALIGNMENT,60,4982,ADEQUATE,0.5381372942593337,4.78003089390039,4.2394307566556755,0.317841076416574,0.43516456601027675
UP,UNKNOWN_CONTEXT,60,4,INSUFFICIENT_SAMPLE,0.0,0.8512496917579573,9.84351132936507,-2.725607330032669,-2.707593089087297
DOWN,UNKNOWN_CONTEXT,60,2,INSUFFICIENT_SAMPLE,1.0,8.922501262526431,1.6868345886797027,1.687970790760458,1.687970790760458
